year,words,speaker,party
1969,479,Nixon,Republican
1970,,Nixon,Republican
1971,344,Nixon,Republican
1972,678,Nixon,Republican
1973,501,Nixon,Republican
1974,839,Nixon,Republican
1975,415,Ford,Republican
1976,418,Ford,Republican
1977,630,Carter,Democrat
1978,568,Carter,Democrat
1979,809,Carter,Democrat
1980,744,Carter,Democrat
1981,203,Reagan,Republican
1982,502,Reagan,Republican
1983,514,Reagan,Republican
1984,477,Reagan,Republican
1985,652,Reagan,Republican
1986,790,Reagan,Republican
1987,348,Reagan,Republican
1988,365,Reagan,Republican
1989,345,Bush 41,Republican
1990,406,Bush 41,Republican
1991,377,Bush 41,Republican
1992,430,Bush 41,Republican
1993,423,Clinton,Democrat
1994,363,Clinton,Democrat
1995,495,Clinton,Democrat
1996,833,Clinton,Democrat
1997,949,Clinton,Democrat
1998,362,Clinton,Democrat
1999,829,Clinton,Democrat
2000,789,Clinton,Democrat
2001,603,Bush 43,Republican
2002,428,Bush 43,Republican
2003,431,Bush 43,Republican
2004,595,Bush 43,Republican
2005,473,Bush 43,Republican
2006,575,Bush 43,Republican
2007,457,Bush 43,Republican
2008,549,Bush 43,Republican
2009,639,Obama,Democrat
2010,999,Obama,Democrat
2011,1297,Obama,Democrat
2012,1230,Obama,Democrat
2013,1004,Obama,Democrat
2014,1320,Obama,Democrat
2015,1379,Obama,Democrat
2016,1317,Obama,Democrat
2017,1142,Trump,Republican
