"","Var1","Freq","speaker","pct"
"1","us",158,"Obama",0.0172019597169298
"2","faith",118,"Obama",0.0128470332063146
"3","god",94,"Obama",0.0102340772999456
"4","’s",85,"Obama",0.00925421883505716
"5","can",84,"Obama",0.00914534567229178
"6","will",67,"Obama",0.00729450190528035
"7","one",60,"Obama",0.0065323897659227
"8","people",59,"Obama",0.00642351660315732
"9","every",51,"Obama",0.0055525313010343
"10","work",51,"Obama",0.0055525313010343
"11","many",50,"Obama",0.00544365813826892
"12","know",49,"Obama",0.00533478497550354
"13","world",48,"Obama",0.00522591181273816
"14","’re",46,"Obama",0.0050081654872074
"15","just",46,"Obama",0.0050081654872074
"16","day",44,"Obama",0.00479041916167665
"17","prayer",44,"Obama",0.00479041916167665
"18","pray",41,"Obama",0.00446379967338051
"19","love",40,"Obama",0.00435492651061513
"20","’ve",39,"Obama",0.00424605334784975
"21","like",38,"Obama",0.00413718018508438
"22","together",37,"Obama",0.004028307022319
"23","also",36,"Obama",0.00391943385955362
"24","religious",35,"Obama",0.00381056069678824
"25","time",35,"Obama",0.00381056069678824
"26","country",34,"Obama",0.00370168753402286
"27","good",34,"Obama",0.00370168753402286
"28","see",34,"Obama",0.00370168753402286
"29","thank",34,"Obama",0.00370168753402286
"30","want",32,"Obama",0.00348394120849211
"31","great",31,"Obama",0.00337506804572673
"32","around",30,"Obama",0.00326619488296135
"33","way",30,"Obama",0.00326619488296135
"34","today",29,"Obama",0.00315732172019597
"35","always",28,"Obama",0.00304844855743059
"36","may",28,"Obama",0.00304844855743059
"37","children",27,"Obama",0.00293957539466521
"38","even",27,"Obama",0.00293957539466521
"39","president",27,"Obama",0.00293957539466521
"40","religion",27,"Obama",0.00293957539466521
"41","“",26,"Obama",0.00283070223189984
"42","help",26,"Obama",0.00283070223189984
"43","make",26,"Obama",0.00283070223189984
"44","now",26,"Obama",0.00283070223189984
"45","believe",25,"Obama",0.00272182906913446
"46","freedom",25,"Obama",0.00272182906913446
"47","leaders",25,"Obama",0.00272182906913446
"48","need",25,"Obama",0.00272182906913446
"49","right",25,"Obama",0.00272182906913446
"50","years",25,"Obama",0.00272182906913446
"51","nation",24,"Obama",0.00261295590636908
"52","going",23,"Obama",0.0025040827436037
"53","lives",23,"Obama",0.0025040827436037
"54","much",23,"Obama",0.0025040827436037
"55","others",23,"Obama",0.0025040827436037
"56","sometimes",23,"Obama",0.0025040827436037
"57","fear",22,"Obama",0.00239520958083832
"58","morning",22,"Obama",0.00239520958083832
"59","said",22,"Obama",0.00239520958083832
"60","times",22,"Obama",0.00239520958083832
"61","face",21,"Obama",0.00228633641807295
"62","life",21,"Obama",0.00228633641807295
"63","seek",21,"Obama",0.00228633641807295
"64","spirit",20,"Obama",0.00217746325530757
"65","united",20,"Obama",0.00217746325530757
"66","breakfast",19,"Obama",0.00206859009254219
"67","faiths",19,"Obama",0.00206859009254219
"68","friends",19,"Obama",0.00206859009254219
"69","office",19,"Obama",0.00206859009254219
"70","values",19,"Obama",0.00206859009254219
"71","give",18,"Obama",0.00195971692977681
"72","god’s",18,"Obama",0.00195971692977681
"73","let",18,"Obama",0.00195971692977681
"74","lord",18,"Obama",0.00195971692977681
"75","power",18,"Obama",0.00195971692977681
"76","’m",17,"Obama",0.00185084376701143
"77","another",17,"Obama",0.00185084376701143
"78","come",17,"Obama",0.00185084376701143
"79","common",17,"Obama",0.00185084376701143
"80","don’t",17,"Obama",0.00185084376701143
"81","family",17,"Obama",0.00185084376701143
"82","home",17,"Obama",0.00185084376701143
"83","humility",17,"Obama",0.00185084376701143
"84","must",17,"Obama",0.00185084376701143
"85","stand",17,"Obama",0.00185084376701143
"86","american",16,"Obama",0.00174197060424605
"87","call",16,"Obama",0.00174197060424605
"88","different",16,"Obama",0.00174197060424605
"89","first",16,"Obama",0.00174197060424605
"90","get",16,"Obama",0.00174197060424605
"91","man",16,"Obama",0.00174197060424605
"92","moment",16,"Obama",0.00174197060424605
"93","states",16,"Obama",0.00174197060424605
"94","two",16,"Obama",0.00174197060424605
"95","well",16,"Obama",0.00174197060424605
